"","RIVTYPE","B","C","A","D","F","Data defic","E","tot_leng24","prcDDef24","prp24_ab"
"115","24_N_L",0,2495.43098044831,10031.8299925679,282320.271656856,3085.99461448327,9267.46061165467,138561.130343496,445762.118199506,0.0207901484520201,0.0225048957347201
"116","24_N_M",5809.45538512664,9275.0655226414,5376.07538563295,44595.7853466606,1522.16955747506,0,13736.0637582596,80314.6149557962,0,0.139271423724261
"117","24_N_U",99.611476048849,53417.1286574465,5471.08055792296,220716.443301983,8714.31746019852,0,140727.409544968,429145.990998568,0,0.0129808786539274
"118","24_P_F",48.8427335572972,80024.6058087185,2779.40031028552,175531.479099822,9451.4151396152,0,50345.7179597247,318181.461051723,0,0.00888877382891601
"119","24_P_L",0,53966.0133134822,0,379837.353028574,1095.98208166137,3931.46343098035,119537.2499917,558368.061846397,0.00704098908877396,0
"120","24_P_M",4550.04899738033,7186.80278041574,12524.6268042294,43057.7918385624,637.71879393411,0,10839.1105616052,78796.0997761272,0,0.216694428405996
"121","24_P_U",4167.40934768583,20626.0980691616,5659.95265384218,247298.557171439,3471.40934832915,0,118470.279575522,399693.706165979,0,0.0245872322979413
"122","25_N_F",21909.6116892388,0,0,2170.81737289537,0,0,0,24080.4290621342,0,0.909851383158744
"123","25_N_L",336433.418235067,147899.992589969,152722.253838422,129199.768655317,601.884571385795,79408.5525170551,30981.92678444,877247.797191655,0.0905200933775687,0.557602622245879
"124","25_N_M",12156.6706231075,8612.22387423791,4387.93818807874,16189.419951724,0,8460.7031400033,821.495485811515,50628.4512629629,0.167113607644417,0.32678480969631
"125","25_N_U",360222.555904093,138784.124341944,310163.052564404,122413.654471492,1789.38954365526,115475.624378813,32855.4701298839,1081703.87133429,0.106753453915602,0.619749661838202
"126","25_P_F",0,64769.54148936,0,171069.709838695,88.5529441219298,1560.64140548712,0,237488.445677664,0.00657144140648144,0
"127","25_P_L",64242.2680713895,104237.992160735,3899.56662766798,20517.8636604016,0,0,0,192897.690520194,0,0.353253761179291
"128","26_N_F",270142.150787305,169258.290645009,2820.41210101291,69728.418831434,35306.9726474801,318313.489930359,4325.34465589536,869895.079598495,0.365921704117787,0.313787914531376
"129","26_N_L",1799362.76735619,3059725.84023446,220150.142553982,791249.435147817,127400.423615767,5578728.70713741,22516.1368502022,11599133.4528958,0.480960817443188,0.174108946854645
"130","26_N_M",30598.8269408041,46314.5519045586,6048.56275894279,10200.1991202127,193.350736491568,79701.3588346807,0,173056.85029569,0.46055015273016,0.211765033496969
"131","26_N_U",1134417.16412525,2171794.27321744,337022.976087271,485163.532084157,90299.331535429,4921388.96170241,6046.80441467772,9146133.04316664,0.538084121286574,0.160881121373134
"132","26_P_F",161260.748296161,781376.492714786,0,1221207.53607052,305880.501580148,343550.081204722,393083.662786193,3206359.02265253,0.107146479473316,0.0502940397993095
