"","RIVTYPE","zone","RLE18","RLE24","RLEsa18","RLEsa24","extent","EPL18","EPL24","RLE_EPL24"
"1","10_N_L","Lower foothill","VU","VU","CR","CR",1972.01022777634,"NP","NP","VU_NP"
"2","10_N_M","Mountain stream","LC","LC","LC","LC",50330.6289617102,"WP","WP","LC_WP"
"3","10_N_U","Upper foothill","LC","LC","CR","CR",142321.496680765,"PP","PP","LC_PP"
"4","10_P_L","Lower foothill","VU","VU","CR","CR",377485.660332358,"PP","PP","VU_PP"
"5","10_P_M","Mountain stream","LC","LC","LC","LC",147597.496265175,"MP","MP","LC_MP"
"6","10_P_U","Upper foothill","LC","LC","EN","EN",902386.940748308,"PP","PP","LC_PP"
"7","11_N_F","Lowland river","CR","CR","CR","CR",259530.876561295,"PP","PP","CR_PP"
"8","11_N_L","Lower foothill","LC","LC","CR","CR",4796280.46726565,"NP","NP","LC_NP"
"9","11_N_M","Mountain stream","VU","VU","EN","EN",62993.2630414656,"PP","PP","VU_PP"
"10","11_N_U","Upper foothill","LC","LC","CR","CR",3394225.29333632,"NP","NP","LC_NP"
"11","11_P_F","Lowland river","CR","CR","CR","CR",4646375.54697109,"PP","PP","CR_PP"
"12","11_P_L","Lower foothill","VU","VU","CR","CR",8442242.96822967,"NP","NP","VU_NP"
"13","11_P_M","Mountain stream","VU","VU","EN","CR",89469.0775173839,"PP","PP","VU_PP"
"14","11_P_U","Upper foothill","LC","LC","CR","CR",2760273.14287727,"NP","NP","LC_NP"
"15","12_N_F","Lowland river","LC","LC","LC","LC",3304.26389859087,"NP","NP","LC_NP"
"16","12_N_L","Lower foothill","LC","LC","LC","LC",179426.663127422,"WP","WP","LC_WP"
"17","12_N_M","Mountain stream","LC","LC","LC","LC",20929.1634595313,"PP","PP","LC_PP"
"18","12_N_U","Upper foothill","LC","LC","LC","LC",264340.081871785,"WP","WP","LC_WP"
